target_id_matrix,Gene,qval,Log2FC,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000062186,Olfr395,0.03189636,-1.170081751,4.56579394,4.200906811,10.35022779,4.531655505,3.453691489,0.572273537,1.159794787,3.706027869,0,3.453477951
ENSMUSG00000043263,Ifi209,0.000215865,-1.171217441,173.2207607,220.3725971,58.9989918,135.9712993,192.044808,37.71341024,29.47301661,62.67459576,58.23869776,39.90144608
ENSMUSG00000033825,Tpsb2,0.01663608,-1.171293702,10.08877701,6.034746275,11.25664218,15.58880269,10.27962838,4.93052529,1.000021191,5.462334891,3.279413884,1.699243597
ENSMUSG00000024485,Slc4a9,0.0325122,-1.171444567,303.9514772,268.5770211,39.54035888,359.8144223,188.4812537,71.26694491,33.35353633,101.8479081,45.99687872,54.73345392
ENSMUSG00000022629,Kif21a,0.028928238,-1.171638233,755.9512248,3697.13252,427.0805585,621.7270287,2744.154004,356.9898611,301.0086136,326.4269901,371.370706,444.7180994
ENSMUSG00000044786,Zfp36,0.00098788,-1.176146051,1827.703384,933.9443665,406.4147,1962.055317,1013.449858,378.6822996,244.6022716,457.9528398,305.1708256,296.1244686
ENSMUSG00000016356,Col20a1,0.033943138,-1.178601414,11.27326802,64.72683007,22.3934702,5.720279613,11.65117361,6.763263787,4.190245833,8.029936787,4.283922256,2.13697046
ENSMUSG00000048572,Tmem252,0.041262244,-1.180358089,15.37535752,48.48290221,54.23133651,7.638578932,54.76051595,4.830902705,6.858101696,19.62873437,5.354902819,10.82269665
ENSMUSG00000032349,Elovl5,4.76E-06,-1.182467933,268.5711095,422.2107521,144.9950962,274.6866189,421.0061233,93.00227117,64.15152651,94.36625053,73.38868049,122.0752641
ENSMUSG00000022358,Fbxo32,5.06E-05,-1.185550731,34.18076222,31.82336047,18.08625719,30.73121365,32.53834682,15.98788442,3.965635621,11.63099193,6.429749049,8.754469093
ENSMUSG00000116076,Fbxo32,5.06E-05,-1.185550731,34.18076222,31.82336047,18.08625719,30.73121365,32.53834682,15.98788442,3.965635621,11.63099193,6.429749049,8.754469093
ENSMUSG00000090675,Olfr111,0.005046652,-1.18606508,15.37535752,27.19772563,8.272576756,12.41269076,10.48605625,7.729444328,0.979728814,5.353291192,3.212941692,4.995090763
ENSMUSG00000054203,Ifi205,0.000472851,-1.190542671,45.6333511,95.01984174,27.53578215,54.69083744,79.26118811,13.4162468,10.78386175,27.13254181,21.87400648,14.05810461
ENSMUSG00000023032,Slc4a8,0.012283212,-1.190665918,11.3074972,5.357948433,7.098130307,9.580804656,5.465032438,3.146317104,1.478978601,2.93056873,2.434429103,0.629886117
ENSMUSG00000030247,Kcnj8,2.17E-05,-1.191254838,152.3388767,117.3379579,118.6326922,128.3189776,105.6449764,51.82327042,22.12374757,78.0304291,23.99738171,32.86070444
ENSMUSG00000036151,Tm6sf2,9.76E-06,-1.191559791,12.76230356,17.56129287,43.68834537,16.22133917,14.09710581,4.676733369,5.267166312,6.480907384,4.850844594,5.489928732
ENSMUSG00000028631,Kcnq4,0.047319847,-1.192651393,4.409349672,5.427702819,8.975488635,7.686938113,2.677875943,4.436680517,0,4.10559253,0.614356571,0.956284207
ENSMUSG00000022603,Mroh4,0.032958555,-1.192976048,3.268756379,9.147196971,4.196960602,4.184189158,12.87115866,1.579289812,0,2.345650099,1.381005663,4.434559494
ENSMUSG00000060961,Slc4a4,7.32E-09,-1.194516451,153.6189141,170.8406623,71.8366009,129.3446255,165.6909992,32.31185759,32.43173671,41.90459433,50.52585446,44.41566041
