Gene,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000026628,390.9606816,80.31622034,37.32630683,359.0734155,65.246573,29.70307497,35.41782766,31.59030723,22.53898012,44.60433325
ENSMUSG00000026630,10.46394703,20.71975436,11.82946623,13.22209149,10.48605625,15.61930069,5.649629019,10.58804321,21.12295241,9.990181526
ENSMUSG00000026632,44.83202014,34.31938411,34.50071759,57.76438718,39.92142722,33.05179506,43.54787223,40.66154572,47.15238633,27.62358148
ENSMUSG00000026634,208.1886677,252.1332382,213.3286892,220.2452242,235.126095,207.3112102,252.1669792,233.9022874,269.7282445,190.0357874
ENSMUSG00000026637,38.42615024,32.05690407,43.2865653,47.65835687,34.56992348,37.38638224,45.32431826,41.6953562,44.36006646,43.3312107
ENSMUSG00000026638,422.495628,426.5822686,253.9553857,459.6338942,325.1437143,54.11941042,23.80884163,86.91619148,39.69978949,98.76388317
ENSMUSG00000026639,23.22553151,14.39482575,24.5626165,20.20735303,5.327842275,48.02013373,27.01242615,25.98423292,14.43369744,37.05755712
ENSMUSG00000026640,92.38741575,59.43599966,94.07360306,93.67533095,67.76846549,75.84262507,76.61937259,85.06292121,70.51665418,84.86868392
ENSMUSG00000026641,135.989563,146.9437763,154.4546296,133.1566849,147.9676852,173.1904937,133.5374508,142.9390919,148.660743,112.9277482
ENSMUSG00000026643,185.2054966,198.5837826,179.6945076,180.3686403,192.6826635,182.5009821,182.3896147,151.8439394,212.6400965,190.9048806
ENSMUSG00000026644,0,0,0,0.951104924,5.801811314,0.970128071,0,0,0,0
ENSMUSG00000026645,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026646,57.141782,49.93152733,57.3845531,50.68675255,53.2664829,73.11188593,86.39417838,67.79097233,86.23998825,83.97402646
ENSMUSG00000026648,76.91587628,88.31767704,57.9146635,47.99202247,72.08316037,75.19473829,67.15004836,51.64534934,73.88734625,75.76256863
ENSMUSG00000026649,14.90472534,20.90100542,10.74966087,9.912476521,15.40719459,6.365500382,12.35779193,11.21893545,15.90989632,15.91673607
ENSMUSG00000026650,0,0,0,0,0,0,0,0,0,0
